service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BUS20262-hba26011-Weekday-02,1,1,1,1,1,0,0,20260529,20260612
BUS20262-hbb26017-Sunday-02,0,0,0,0,0,0,1,20260531,20260607
BUS20262-hbb26fr1-Weekday-02,0,0,0,0,1,0,0,20260529,20260612
BUS20262-hbb26sp6-Saturday-02,0,0,0,0,0,1,0,20260613,20260613
BUS20262-hbc26017-Sunday-02,0,0,0,0,0,0,1,20260531,20260607
BUS20262-hbc26fr1-Weekday-02,0,0,0,0,1,0,0,20260529,20260612
BUS20262-hbc26sp6-Saturday-02,0,0,0,0,0,1,0,20260613,20260613
BUS20262-hbf26011-Weekday-02,1,1,1,1,1,0,0,20260529,20260612
BUS20262-hbg26017-Sunday-02,0,0,0,0,0,0,1,20260531,20260607
BUS20262-hbg26fr1-Weekday-02,0,0,0,0,1,0,0,20260529,20260612
BUS20262-hbg26sp6-Saturday-02,0,0,0,0,0,1,0,20260613,20260613
BUS20262-hbl26017-Sunday-02,0,0,0,0,0,0,1,20260531,20260607
BUS20262-hbl26fr1-Weekday-02,0,0,0,0,1,0,0,20260529,20260612
BUS20262-hbl26sp6-Saturday-02,0,0,0,0,0,1,0,20260613,20260613
BUS20262-hbq26017-Sunday-02,0,0,0,0,0,0,1,20260531,20260607
BUS20262-hbq26fr1-Weekday-02,0,0,0,0,1,0,0,20260529,20260612
BUS20262-hbq26sp6-Saturday-02,0,0,0,0,0,1,0,20260613,20260613
BUS20262-hbs26017-Sunday-02,0,0,0,0,0,0,1,20260531,20260607
BUS20262-hbs26fw1-Weekday-02,0,0,0,0,1,0,0,20260529,20260605
BUS20262-hbs26sp6-Saturday-02,0,0,0,0,0,1,0,20260613,20260613
BUS20262-hbs26sr1-Weekday-02,0,0,0,1,0,0,0,20260611,20260611
BUS20262-hbs26sw1-Weekday-02,1,1,1,1,0,0,0,20260601,20260610
BUS20262-hbs26sy1-Weekday-02,0,0,0,0,1,0,0,20260612,20260612
BUS20262-hbt26017-Sunday-02,0,0,0,0,0,0,1,20260531,20260607
BUS20262-hbt26fr1-Weekday-02,0,0,0,0,1,0,0,20260529,20260612
BUS20262-hbt26sp6-Saturday-02,0,0,0,0,0,1,0,20260613,20260613
BUS20263-hba36011-Weekday-02,1,1,1,1,0,0,0,20260615,20260625
BUS20263-hba36ns1-Weekday-02,1,1,1,1,1,0,0,20260629,20260828
BUS20263-hbb36017-Sunday-02,0,0,0,0,0,0,1,20260621,20260830
BUS20263-hbb36fn1-Weekday-02,1,0,0,1,1,0,0,20260619,20260619
BUS20263-hbb36fr1-Weekday-02,0,0,0,0,1,0,0,20260904,20260904
BUS20263-hbb36fs1-Weekday-02,0,1,0,0,0,0,0,20260616,20260623
BUS20263-hbb36j47-Sunday-02,0,0,0,0,0,0,0,20260704,20260704
BUS20263-hbb36sf1-Weekday-02,0,0,0,0,1,0,0,20260710,20260828
BUS20263-hbb36sn1-Weekday-02,1,1,1,1,0,0,0,20260630,20260827
BUS20263-hbb36sp7-Sunday-02,0,0,0,0,0,0,1,20260614,20260614
BUS20263-hbb36wk1-Weekday-02,1,0,1,1,0,0,0,20260615,20260625
BUS20263-hbc36016-Saturday-02,0,0,0,0,0,1,0,20260620,20260905
BUS20263-hbc36017-Sunday-02,0,0,0,0,0,0,1,20260621,20260830
BUS20263-hbc36fn1-Weekday-02,1,0,0,1,1,0,0,20260619,20260619
BUS20263-hbc36fr1-Weekday-02,0,0,0,0,1,0,0,20260904,20260904
BUS20263-hbc36fs1-Weekday-02,0,1,0,0,0,0,0,20260616,20260623
BUS20263-hbc36j47-Sunday-02,0,0,0,0,0,0,0,20260704,20260704
BUS20263-hbc36sf1-Weekday-02,0,0,0,0,1,0,0,20260710,20260828
BUS20263-hbc36sn1-Weekday-02,1,1,1,1,0,0,0,20260630,20260827
BUS20263-hbc36sp6-Saturday-02,0,0,0,0,0,1,0,20260711,20260711
BUS20263-hbc36sp7-Sunday-02,0,0,0,0,0,0,1,20260614,20260614
BUS20263-hbc36wk1-Weekday-02,1,0,1,1,0,0,0,20260615,20260625
BUS20263-hbf36011-Weekday-02,1,1,1,1,0,0,0,20260615,20260625
BUS20263-hbf36ns1-Weekday-02,1,1,1,1,1,0,0,20260629,20260828
BUS20263-hbg36016-Saturday-02,0,0,0,0,0,1,0,20260620,20260905
BUS20263-hbg36017-Sunday-02,0,0,0,0,0,0,1,20260621,20260830
BUS20263-hbg36fn1-Weekday-02,1,0,0,1,1,0,0,20260619,20260619
BUS20263-hbg36fr1-Weekday-02,0,0,0,0,1,0,0,20260904,20260904
BUS20263-hbg36fs1-Weekday-02,0,1,0,0,0,0,0,20260616,20260623
BUS20263-hbg36j47-Sunday-02,0,0,0,0,0,0,0,20260704,20260704
BUS20263-hbg36sf1-Weekday-02,0,0,0,0,1,0,0,20260710,20260828
BUS20263-hbg36sn1-Weekday-02,1,1,1,1,0,0,0,20260630,20260827
BUS20263-hbg36sp6-Saturday-02,0,0,0,0,0,1,0,20260711,20260711
BUS20263-hbg36sp7-Sunday-02,0,0,0,0,0,0,1,20260614,20260614
BUS20263-hbg36wk1-Weekday-02,1,0,1,1,0,0,0,20260615,20260625
BUS20263-hbl36f21-Weekday-02,0,0,0,0,1,0,0,20260626,20260626
BUS20263-hbl36j47-Sunday-02,0,0,0,0,0,0,0,20260704,20260704
BUS20263-hbl36s21-Weekday-02,1,1,1,1,0,0,0,20260629,20260827
BUS20263-hbl36s31-Weekday-02,0,0,0,0,1,0,0,20260710,20260828
BUS20263-hbl36w21-Weekday-02,1,1,1,1,0,0,0,20260615,20260625
BUS20263-hbq36017-Sunday-02,0,0,0,0,0,0,1,20260621,20260830
BUS20263-hbq36fn1-Weekday-02,1,0,0,1,1,0,0,20260619,20260619
BUS20263-hbq36fr1-Weekday-02,0,0,0,0,1,0,0,20260904,20260904
BUS20263-hbq36fs1-Weekday-02,0,1,0,0,0,0,0,20260616,20260623
BUS20263-hbq36j47-Sunday-02,0,0,0,0,0,0,0,20260704,20260704
BUS20263-hbq36sf1-Weekday-02,0,0,0,0,1,0,0,20260710,20260828
BUS20263-hbq36sn1-Weekday-02,1,1,1,1,0,0,0,20260630,20260827
BUS20263-hbq36sp7-Sunday-02,0,0,0,0,0,0,1,20260614,20260614
BUS20263-hbq36wk1-Weekday-02,1,0,1,1,0,0,0,20260615,20260625
BUS20263-hbs36016-Saturday-02,0,0,0,0,0,1,0,20260620,20260905
BUS20263-hbs36f21-Weekday-02,0,0,0,0,1,0,0,20260626,20260626
BUS20263-hbs36j47-Sunday-02,0,0,0,0,0,0,0,20260704,20260704
BUS20263-hbs36s21-Weekday-02,1,1,1,1,0,0,0,20260629,20260827
BUS20263-hbs36s31-Weekday-02,0,0,0,0,1,0,0,20260710,20260828
BUS20263-hbs36sp6-Saturday-02,0,0,0,0,0,1,0,20260711,20260711
BUS20263-hbs36w21-Weekday-02,1,1,1,1,0,0,0,20260615,20260625
BUS20263-hbt36017-Sunday-02,0,0,0,0,0,0,1,20260621,20260830
BUS20263-hbt36fn1-Weekday-02,1,0,0,1,1,0,0,20260619,20260619
BUS20263-hbt36fr1-Weekday-02,0,0,0,0,1,0,0,20260904,20260904
BUS20263-hbt36fs1-Weekday-02,0,1,0,0,0,0,0,20260616,20260623
BUS20263-hbt36j47-Sunday-02,0,0,0,0,0,0,0,20260704,20260704
BUS20263-hbt36sf1-Weekday-02,0,0,0,0,1,0,0,20260710,20260828
BUS20263-hbt36sn1-Weekday-02,1,1,1,1,0,0,0,20260630,20260827
BUS20263-hbt36sp7-Sunday-02,0,0,0,0,0,0,1,20260614,20260614
BUS20263-hbt36wk1-Weekday-02,1,0,1,1,0,0,0,20260615,20260625
Boat-EastBoston-Saturday-Summer-26,0,0,0,0,0,1,0,20260530,20260905
Boat-EastBoston-Sunday-Summer-26,0,0,0,0,0,0,1,20260531,20260830
Boat-EastBoston-Weekday-Summer-26,1,1,1,1,1,0,0,20260529,20260904
Boat-F1-Saturday-Summer-26,0,0,0,0,0,1,0,20260530,20260905
Boat-F1-Sunday-Summer-26,0,0,0,0,0,0,1,20260531,20260830
Boat-F1-Weekday-Summer-26,1,1,1,1,1,0,0,20260529,20260904
Boat-F10-Weekday-Summer-26,1,1,1,1,1,0,0,20260629,20260904
Boat-F2H-Saturday-Summer-26,0,0,0,0,0,1,0,20260530,20260905
Boat-F2H-Sunday-Summer-26,0,0,0,0,0,0,1,20260531,20260830
Boat-F2H-Weekday-Summer-26,1,1,1,1,1,0,0,20260529,20260904
Boat-F4-Saturday-Summer-26,0,0,0,0,0,1,0,20260530,20260905
Boat-F4-Sunday-Summer-26,0,0,0,0,0,0,1,20260531,20260830
Boat-F4-Weekday-Summer-26,1,1,1,1,1,0,0,20260529,20260904
Boat-F6-Weekday-Summer-26,1,1,1,1,1,0,0,20260529,20260904
Boat-F7-Weekday-Summer-26,1,1,1,1,1,0,0,20260529,20260904
Boat-F8-Saturday-Summer-26,0,0,0,0,0,1,0,20260530,20260905
Boat-F8-Sunday-Summer-26,0,0,0,0,0,0,1,20260531,20260830
Boat-Lynn-Saturday-Summer-26,0,0,0,0,0,1,0,20260530,20260905
