service_id,service_description,service_schedule_name,service_schedule_type,service_schedule_typicality,rating_start_date,rating_end_date,rating_description
BUS20262-hba26011-Weekday-02,Weekday schedule,Weekday,Weekday,1,20260405,20260613,Spring
BUS20262-hbb26017-Sunday-02,Sunday schedule,Sunday,Sunday,1,20260405,20260613,Spring
BUS20262-hbb26fr1-Weekday-02,Friday schedule,Friday,Weekday,1,20260405,20260613,Spring
BUS20262-hbb26sp6-Saturday-02,Saturday schedule (extended event service),Saturday (extended event service),Saturday,2,20260405,20260613,Spring
BUS20262-hbc26017-Sunday-02,Sunday schedule,Sunday,Sunday,1,20260405,20260613,Spring
BUS20262-hbc26fr1-Weekday-02,Friday schedule,Friday,Weekday,1,20260405,20260613,Spring
BUS20262-hbc26sp6-Saturday-02,Saturday schedule (extended event service),Saturday (extended event service),Saturday,2,20260405,20260613,Spring
BUS20262-hbf26011-Weekday-02,Weekday schedule,Weekday,Weekday,1,20260405,20260613,Spring
BUS20262-hbg26017-Sunday-02,Sunday schedule,Sunday,Sunday,1,20260405,20260613,Spring
BUS20262-hbg26fr1-Weekday-02,Friday schedule,Friday,Weekday,1,20260405,20260613,Spring
BUS20262-hbg26sp6-Saturday-02,Saturday schedule (extended event service),Saturday (extended event service),Saturday,2,20260405,20260613,Spring
BUS20262-hbl26017-Sunday-02,Sunday schedule,Sunday,Sunday,1,20260405,20260613,Spring
BUS20262-hbl26fr1-Weekday-02,Friday schedule,Friday,Weekday,1,20260405,20260613,Spring
BUS20262-hbl26sp6-Saturday-02,Saturday schedule (extended event service),Saturday (extended event service),Saturday,2,20260405,20260613,Spring
BUS20262-hbq26017-Sunday-02,Sunday schedule,Sunday,Sunday,1,20260405,20260613,Spring
BUS20262-hbq26fr1-Weekday-02,Friday schedule,Friday,Weekday,1,20260405,20260613,Spring
BUS20262-hbq26sp6-Saturday-02,Saturday schedule (extended event service),Saturday (extended event service),Saturday,2,20260405,20260613,Spring
BUS20262-hbs26017-Sunday-02,Sunday schedule,Sunday,Sunday,1,20260405,20260613,Spring
BUS20262-hbs26fw1-Weekday-02,Weekday schedule (modified service),Weekday (modified service),Weekday,4,20260405,20260613,Spring
BUS20262-hbs26sp6-Saturday-02,Saturday schedule (extended event service),Saturday (extended event service),Saturday,2,20260405,20260613,Spring
BUS20262-hbs26sr1-Weekday-02,Weekday schedule (modified service),Weekday (modified service),Weekday,4,20260405,20260613,Spring
BUS20262-hbs26sw1-Weekday-02,Weekday schedule,Weekday,Weekday,1,20260405,20260613,Spring
BUS20262-hbs26sy1-Weekday-02,Weekday schedule (modified service),Weekday (modified service),Weekday,4,20260405,20260613,Spring
BUS20262-hbt26017-Sunday-02,Sunday schedule,Sunday,Sunday,1,20260405,20260613,Spring
BUS20262-hbt26fr1-Weekday-02,Friday schedule,Friday,Weekday,1,20260405,20260613,Spring
BUS20262-hbt26sp6-Saturday-02,Saturday schedule (extended event service),Saturday (extended event service),Saturday,2,20260405,20260613,Spring
BUS20263-hba36011-Weekday-02,Weekday schedule,Weekday,Weekday,1,20260614,20260905,Summer
BUS20263-hba36ns1-Weekday-02,Weekday schedule (no school),Weekday (no school),Weekday,1,20260614,20260905,Summer
BUS20263-hbb36017-Sunday-02,Sunday schedule,Sunday,Sunday,1,20260614,20260905,Summer
BUS20263-hbb36fn1-Weekday-02,Friday schedule (no school),Friday,Weekday,1,20260614,20260905,Summer
BUS20263-hbb36fr1-Weekday-02,Friday schedule,Friday,Weekday,1,20260614,20260905,Summer
BUS20263-hbb36fs1-Weekday-02,Weekday schedule (modified service),Weekday (modified service),Weekday,4,20260614,20260905,Summer
BUS20263-hbb36j47-Sunday-02,Holiday (Sunday schedule),Holiday,Sunday,3,20260614,20260905,Summer
BUS20263-hbb36sf1-Weekday-02,Friday schedule (no school),Friday,Weekday,1,20260614,20260905,Summer
BUS20263-hbb36sn1-Weekday-02,Monday - Thursday schedule (no school),Monday - Thursday (no school),Weekday,1,20260614,20260905,Summer
BUS20263-hbb36sp7-Sunday-02,Sunday schedule (modified service),Sunday (modified service),Sunday,4,20260614,20260905,Summer
BUS20263-hbb36wk1-Weekday-02,Monday - Thursday schedule,Monday - Thursday,Weekday,1,20260614,20260905,Summer
BUS20263-hbc36016-Saturday-02,Saturday schedule,Saturday,Saturday,1,20260614,20260905,Summer
BUS20263-hbc36017-Sunday-02,Sunday schedule,Sunday,Sunday,1,20260614,20260905,Summer
BUS20263-hbc36fn1-Weekday-02,Friday schedule (no school),Friday,Weekday,1,20260614,20260905,Summer
BUS20263-hbc36fr1-Weekday-02,Friday schedule,Friday,Weekday,1,20260614,20260905,Summer
BUS20263-hbc36fs1-Weekday-02,Weekday schedule (modified service),Weekday (modified service),Weekday,4,20260614,20260905,Summer
BUS20263-hbc36j47-Sunday-02,Holiday (Sunday schedule),Holiday,Sunday,3,20260614,20260905,Summer
BUS20263-hbc36sf1-Weekday-02,Friday schedule (no school),Friday,Weekday,1,20260614,20260905,Summer
BUS20263-hbc36sn1-Weekday-02,Monday - Thursday schedule (no school),Monday - Thursday (no school),Weekday,1,20260614,20260905,Summer
BUS20263-hbc36sp6-Saturday-02,Saturday schedule (modified service),Saturday (modified service),Saturday,4,20260614,20260905,Summer
BUS20263-hbc36sp7-Sunday-02,Sunday schedule (modified service),Sunday (modified service),Sunday,4,20260614,20260905,Summer
BUS20263-hbc36wk1-Weekday-02,Monday - Thursday schedule,Monday - Thursday,Weekday,1,20260614,20260905,Summer
