service_id,date,exception_type,holiday_name
SPRING2026-NORTHWKD-Weekday-1,20260529,1,
SPRING2026-NORTHWKD-Weekday-1-S6561ad1d,20260529,1,
SPRING2026-NORTHWKD-Weekday-1-S7d8482ee,20260529,1,
SPRING2026-NORTHWKD-Weekday-1-S9d378dcf,20260529,1,
SPRING2026-SOUTHWKD-Weekday-1-5-S49,20260529,1,
fare_regular,20260529,1,
fare_regular,20260530,1,
SPRING2026-NORTHWKD-Weekday-1,20260601,1,
SPRING2026-NORTHWKD-Weekday-1-S6561ad1d,20260601,1,
SPRING2026-NORTHWKD-Weekday-1-S7d8482ee,20260601,1,
SPRING2026-NORTHWKD-Weekday-1-S9d378dcf,20260601,1,
SPRING2026-SOUTHWKD-Weekday-1,20260601,1,
SPRING2026-SOUTHWKD-Weekday-1-S0b87ffae,20260601,1,
SPRING2026-SOUTHWKD-Weekday-1-S85407dc6,20260601,1,
SPRING2026-SOUTHWKD-Weekday-1-Sb0e4ed14,20260601,1,
SPRING2026-SOUTHWKD-Weekday-1-Sb7371956,20260601,1,
SPRING2026-SOUTHWKD-Weekday-1-Sc9a3b080,20260601,1,
SPRING2026-SOUTHWKD-Weekday-1-Scb37d3c2,20260601,1,
SPRING2026-SOUTHWKD-Weekday-1-Sd88ed885,20260601,1,
SPRING2026-NORTHWKD-Weekday-1,20260602,1,
SPRING2026-NORTHWKD-Weekday-1-S6561ad1d,20260602,1,
SPRING2026-NORTHWKD-Weekday-1-S7d8482ee,20260602,1,
SPRING2026-NORTHWKD-Weekday-1-S9d378dcf,20260602,1,
SPRING2026-SOUTHWKD-Weekday-1,20260602,1,
SPRING2026-SOUTHWKD-Weekday-1-S0b87ffae,20260602,1,
SPRING2026-SOUTHWKD-Weekday-1-S85407dc6,20260602,1,
SPRING2026-SOUTHWKD-Weekday-1-Sb0e4ed14,20260602,1,
SPRING2026-SOUTHWKD-Weekday-1-Sb7371956,20260602,1,
SPRING2026-SOUTHWKD-Weekday-1-Sc9a3b080,20260602,1,
SPRING2026-SOUTHWKD-Weekday-1-Scb37d3c2,20260602,1,
SPRING2026-SOUTHWKD-Weekday-1-Sd88ed885,20260602,1,
SPRING2026-NORTHWKD-Weekday-1,20260603,1,
SPRING2026-NORTHWKD-Weekday-1-S6561ad1d,20260603,1,
SPRING2026-NORTHWKD-Weekday-1-S7d8482ee,20260603,1,
SPRING2026-NORTHWKD-Weekday-1-S9d378dcf,20260603,1,
SPRING2026-SOUTHWKD-Weekday-1,20260603,1,
SPRING2026-SOUTHWKD-Weekday-1-S0b87ffae,20260603,1,
SPRING2026-SOUTHWKD-Weekday-1-S85407dc6,20260603,1,
SPRING2026-SOUTHWKD-Weekday-1-Sb0e4ed14,20260603,1,
SPRING2026-SOUTHWKD-Weekday-1-Sb7371956,20260603,1,
SPRING2026-SOUTHWKD-Weekday-1-Sc9a3b080,20260603,1,
SPRING2026-SOUTHWKD-Weekday-1-Scb37d3c2,20260603,1,
SPRING2026-SOUTHWKD-Weekday-1-Sd88ed885,20260603,1,
SPRING2026-NORTHWKD-Weekday-1,20260604,1,
SPRING2026-NORTHWKD-Weekday-1-S6561ad1d,20260604,1,
SPRING2026-NORTHWKD-Weekday-1-S7d8482ee,20260604,1,
SPRING2026-NORTHWKD-Weekday-1-S9d378dcf,20260604,1,
SPRING2026-SOUTHWKD-Weekday-1,20260604,1,
SPRING2026-SOUTHWKD-Weekday-1-S0b87ffae,20260604,1,
SPRING2026-SOUTHWKD-Weekday-1-S85407dc6,20260604,1,
SPRING2026-SOUTHWKD-Weekday-1-Sb0e4ed14,20260604,1,
SPRING2026-SOUTHWKD-Weekday-1-Sb7371956,20260604,1,
SPRING2026-SOUTHWKD-Weekday-1-Sc9a3b080,20260604,1,
SPRING2026-SOUTHWKD-Weekday-1-Scb37d3c2,20260604,1,
SPRING2026-SOUTHWKD-Weekday-1-Sd88ed885,20260604,1,
SPRING2026-NORTHWKD-Weekday-1,20260605,1,
SPRING2026-NORTHWKD-Weekday-1-S6561ad1d,20260605,1,
SPRING2026-NORTHWKD-Weekday-1-S7d8482ee,20260605,1,
SPRING2026-NORTHWKD-Weekday-1-S9d378dcf,20260605,1,
SPRING2026-SOUTHWKD-Weekday-1-5-S49,20260605,1,
RTL20262-hms26011-Weekday-01,20260611,1,
LRV20262-hlb26fr1-Weekday-01,20260612,1,
LRV20262-hlb26fr1-Weekday-01-S037dae5e,20260612,1,
LRV20262-hlb26fr1-Weekday-01-Sf7c012df,20260612,1,
SPRING2026-SOUTHWKD-Weekday-5,20260612,1,
SPRING2026-SOUTHWKD-Weekday-5-S0b87ffae,20260612,1,
SPRING2026-SOUTHWKD-Weekday-5-S85407dc6,20260612,1,
SPRING2026-SOUTHWKD-Weekday-5-Sb0e4ed14,20260612,1,
SPRING2026-SOUTHWKD-Weekday-5-Sb7371956,20260612,1,
SPRING2026-SOUTHWKD-Weekday-5-Sc9a3b080,20260612,1,
SPRING2026-SOUTHWKD-Weekday-5-Scb37d3c2,20260612,1,
SPRING2026-SOUTHWKD-Weekday-5-Sd88ed885,20260612,1,
SPRING2026-SOUTHSS-Weekend-1-S4011ecb9,20260613,1,
SPRING2026-SOUTHSS-Weekend-1-S4011ecb9,20260614,1,
LRV20263-alb36011-Weekday-01,20260616,2,
LRV20263-alb36011-Weekday-01-S037dae5e,20260616,2,
LRV20263-alb36011-Weekday-01-Sf7c012df,20260616,2,
LRV20263-hlm36011-Weekday-01-Scd2b633c,20260616,2,
RTL20263-hmb36011-Weekday-01,20260616,2,
RTL20263-hmo36011-Weekday-01,20260616,2,
RTL20263-hms36011-Weekday-01,20260616,2,
SPRING2026-SOUTHWKD-Weekday-5,20260616,2,
