from_leg_group_id,to_leg_group_id,transfer_count,duration_limit,duration_limit_type,fare_transfer_type,fare_product_id,filter_fare_product_id,fare_media_behavior,fare_product_behavior
leg_airport_rapid_transit_quick_subway,leg_local_bus_quick_subway,,7200,1,0,,prod_rapid_transit_quick_subway,0,1
leg_airport_rapid_transit_quick_subway,leg_rapid_transit_quick_subway,,,,0,,prod_rapid_transit_quick_subway,0,1
leg_airport_rapid_transit_smartcard,leg_express_bus_smartcard,,7200,1,0,prod_transfer_rapid_transit_to_express_bus,prod_rapid_transit_smartcard,0,0
leg_airport_rapid_transit_smartcard,leg_local_bus_smartcard,,7200,1,0,,prod_rapid_transit_smartcard,0,1
leg_airport_rapid_transit_smartcard,leg_rapid_transit_smartcard,,,,0,,prod_rapid_transit_smartcard,0,1
leg_express_bus_smartcard,leg_airport_rapid_transit_smartcard,,7200,1,0,,prod_express_bus_smartcard,0,1
leg_express_bus_smartcard,leg_express_bus_smartcard,1,7200,1,0,,prod_express_bus_smartcard,0,1
leg_express_bus_smartcard,leg_local_bus_smartcard,,7200,1,0,,prod_express_bus_smartcard,0,1
leg_express_bus_smartcard,leg_rail_replacement_smartcard,,7200,1,0,,prod_express_bus_smartcard,0,1
leg_express_bus_smartcard,leg_rapid_transit_smartcard,,7200,1,0,,prod_express_bus_smartcard,0,1
leg_express_bus_smartcard,leg_sl_rapid_transit_smartcard,,7200,1,0,,prod_express_bus_smartcard,0,1
leg_express_bus_smartcard,leg_ss_rapid_transit_smartcard,,7200,1,0,,prod_express_bus_smartcard,0,1
leg_local_bus_smartcard,leg_airport_rapid_transit_smartcard,,7200,1,0,prod_transfer_local_bus_to_rapid_transit,prod_local_bus_smartcard,0,0
leg_local_bus_smartcard,leg_express_bus_smartcard,,7200,1,0,prod_transfer_local_bus_to_express_bus,prod_local_bus_smartcard,0,0
leg_local_bus_smartcard,leg_local_bus_smartcard,1,7200,1,0,,prod_local_bus_smartcard,0,1
leg_local_bus_smartcard,leg_mattapan_rapid_transit_smartcard,,7200,1,0,prod_transfer_local_bus_to_rapid_transit,prod_local_bus_smartcard,0,0
leg_local_bus_smartcard,leg_rail_replacement_smartcard,,7200,1,0,prod_transfer_local_bus_to_rapid_transit,prod_local_bus_smartcard,0,0
leg_local_bus_smartcard,leg_rapid_transit_smartcard,,7200,1,0,prod_transfer_local_bus_to_rapid_transit,prod_local_bus_smartcard,0,0
leg_local_bus_smartcard,leg_ss_rapid_transit_smartcard,,7200,1,0,prod_transfer_local_bus_to_rapid_transit,prod_local_bus_smartcard,0,0
leg_mattapan_rapid_transit_quick_subway,leg_local_bus_quick_subway,,7200,1,0,,prod_rapid_transit_quick_subway,0,1
leg_mattapan_rapid_transit_quick_subway,leg_rail_replacement_quick_subway,,,,0,,prod_rapid_transit_quick_subway,0,1
leg_mattapan_rapid_transit_quick_subway,leg_rapid_transit_quick_subway,,7200,1,0,,prod_rapid_transit_quick_subway,0,1
leg_mattapan_rapid_transit_quick_subway,leg_ss_rapid_transit_quick_subway,,7200,1,0,,prod_rapid_transit_quick_subway,0,1
leg_mattapan_rapid_transit_smartcard,leg_express_bus_smartcard,,7200,1,0,prod_transfer_rapid_transit_to_express_bus,prod_rapid_transit_smartcard,0,0
leg_mattapan_rapid_transit_smartcard,leg_local_bus_smartcard,,7200,1,0,,prod_rapid_transit_smartcard,0,1
leg_mattapan_rapid_transit_smartcard,leg_rail_replacement_smartcard,,,,0,,prod_rapid_transit_smartcard,0,1
leg_mattapan_rapid_transit_smartcard,leg_rapid_transit_smartcard,,7200,1,0,,prod_rapid_transit_smartcard,0,1
leg_mattapan_rapid_transit_smartcard,leg_ss_rapid_transit_smartcard,,7200,1,0,,prod_rapid_transit_smartcard,0,1
leg_rail_replacement_quick_subway,leg_airport_rapid_transit_quick_subway,,,,0,,prod_rapid_transit_quick_subway,0,1
leg_rail_replacement_quick_subway,leg_local_bus_quick_subway,,7200,1,0,,prod_rapid_transit_quick_subway,0,1
leg_rail_replacement_quick_subway,leg_mattapan_rapid_transit_quick_subway,,,,0,,prod_rapid_transit_quick_subway,0,1
leg_rail_replacement_quick_subway,leg_rail_replacement_quick_subway,-1,,,0,,prod_rapid_transit_quick_subway,0,1
leg_rail_replacement_quick_subway,leg_rapid_transit_quick_subway,,,,0,,prod_rapid_transit_quick_subway,0,1
leg_rail_replacement_quick_subway,leg_sl_rapid_transit_quick_subway,,,,0,,prod_rapid_transit_quick_subway,0,1
leg_rail_replacement_quick_subway,leg_ss_rapid_transit_quick_subway,,,,0,,prod_rapid_transit_quick_subway,0,1
leg_rail_replacement_smartcard,leg_airport_rapid_transit_smartcard,,,,0,,prod_rapid_transit_smartcard,0,1
leg_rail_replacement_smartcard,leg_express_bus_smartcard,,7200,1,0,prod_transfer_rapid_transit_to_express_bus,prod_rapid_transit_smartcard,0,0
leg_rail_replacement_smartcard,leg_local_bus_smartcard,,7200,1,0,,prod_rapid_transit_smartcard,0,1
leg_rail_replacement_smartcard,leg_mattapan_rapid_transit_smartcard,,,,0,,prod_rapid_transit_smartcard,0,1
leg_rail_replacement_smartcard,leg_rail_replacement_smartcard,-1,,,0,,prod_rapid_transit_smartcard,0,1
leg_rail_replacement_smartcard,leg_rapid_transit_smartcard,,,,0,,prod_rapid_transit_smartcard,0,1
leg_rail_replacement_smartcard,leg_sl_rapid_transit_smartcard,,,,0,,prod_rapid_transit_smartcard,0,1
leg_rail_replacement_smartcard,leg_ss_rapid_transit_smartcard,,,,0,,prod_rapid_transit_smartcard,0,1
leg_rapid_transit_cash,leg_rapid_transit_cash,-1,,,0,,prod_rapid_transit_cash,0,1
leg_rapid_transit_cash,leg_sl_rapid_transit_cash,,,,0,,prod_rapid_transit_cash,0,1
leg_rapid_transit_free,leg_rapid_transit_free,-1,,,0,,prod_free_fare,0,1
leg_rapid_transit_free,leg_sl_rapid_transit_free,,,,0,,prod_free_fare,0,1
leg_rapid_transit_quick_subway,leg_airport_rapid_transit_quick_subway,,7200,1,0,,prod_rapid_transit_quick_subway,0,1
leg_rapid_transit_quick_subway,leg_local_bus_quick_subway,,7200,1,0,,prod_rapid_transit_quick_subway,0,1
leg_rapid_transit_quick_subway,leg_mattapan_rapid_transit_quick_subway,,7200,1,0,,prod_rapid_transit_quick_subway,0,1
leg_rapid_transit_quick_subway,leg_rail_replacement_quick_subway,,,,0,,prod_rapid_transit_quick_subway,0,1
leg_rapid_transit_quick_subway,leg_rapid_transit_quick_subway,-1,,,0,,prod_rapid_transit_quick_subway,0,1
leg_rapid_transit_quick_subway,leg_sl_rapid_transit_quick_subway,,,,0,,prod_rapid_transit_quick_subway,0,1
leg_rapid_transit_quick_subway,leg_ss_rapid_transit_quick_subway,,7200,1,0,,prod_rapid_transit_quick_subway,0,1
leg_rapid_transit_smartcard,leg_airport_rapid_transit_smartcard,,7200,1,0,,prod_rapid_transit_smartcard,0,1
leg_rapid_transit_smartcard,leg_express_bus_smartcard,,7200,1,0,prod_transfer_rapid_transit_to_express_bus,prod_rapid_transit_smartcard,0,0
leg_rapid_transit_smartcard,leg_local_bus_smartcard,,7200,1,0,,prod_rapid_transit_smartcard,0,1
leg_rapid_transit_smartcard,leg_mattapan_rapid_transit_smartcard,,7200,1,0,,prod_rapid_transit_smartcard,0,1
leg_rapid_transit_smartcard,leg_rail_replacement_smartcard,,,,0,,prod_rapid_transit_smartcard,0,1
leg_rapid_transit_smartcard,leg_rapid_transit_smartcard,-1,,,0,,prod_rapid_transit_smartcard,0,1
leg_rapid_transit_smartcard,leg_sl_rapid_transit_smartcard,,,,0,,prod_rapid_transit_smartcard,0,1
leg_rapid_transit_smartcard,leg_ss_rapid_transit_smartcard,,7200,1,0,,prod_rapid_transit_smartcard,0,1
leg_sl_rapid_transit_cash,leg_ss_rapid_transit_cash,,,,0,,prod_rapid_transit_cash,0,1
leg_sl_rapid_transit_free,leg_ss_rapid_transit_free,,,,0,,prod_free_fare,0,1
leg_sl_rapid_transit_quick_subway,leg_airport_rapid_transit_quick_subway,,7200,1,0,,prod_rapid_transit_quick_subway,0,1
leg_sl_rapid_transit_quick_subway,leg_local_bus_quick_subway,,7200,1,0,,prod_rapid_transit_quick_subway,0,1
leg_sl_rapid_transit_quick_subway,leg_mattapan_rapid_transit_quick_subway,,7200,1,0,,prod_rapid_transit_quick_subway,0,1
leg_sl_rapid_transit_quick_subway,leg_rail_replacement_quick_subway,,,,0,,prod_rapid_transit_quick_subway,0,1
leg_sl_rapid_transit_quick_subway,leg_ss_rapid_transit_quick_subway,,,,0,,prod_rapid_transit_quick_subway,0,1
leg_sl_rapid_transit_smartcard,leg_airport_rapid_transit_smartcard,,7200,1,0,,prod_rapid_transit_smartcard,0,1
leg_sl_rapid_transit_smartcard,leg_local_bus_smartcard,,7200,1,0,,prod_rapid_transit_smartcard,0,1
leg_sl_rapid_transit_smartcard,leg_mattapan_rapid_transit_smartcard,,7200,1,0,,prod_rapid_transit_smartcard,0,1
leg_sl_rapid_transit_smartcard,leg_rail_replacement_smartcard,,,,0,,prod_rapid_transit_smartcard,0,1
leg_sl_rapid_transit_smartcard,leg_ss_rapid_transit_smartcard,,,,0,,prod_rapid_transit_smartcard,0,1
leg_ss_rapid_transit_cash,leg_rapid_transit_cash,,,,0,,prod_rapid_transit_cash,0,1
leg_ss_rapid_transit_free,leg_rapid_transit_free,,,,0,,prod_free_fare,0,1
leg_ss_rapid_transit_quick_subway,leg_local_bus_quick_subway,,7200,1,0,,prod_rapid_transit_quick_subway,0,1
leg_ss_rapid_transit_quick_subway,leg_mattapan_rapid_transit_quick_subway,,7200,1,0,,prod_rapid_transit_quick_subway,0,1
leg_ss_rapid_transit_quick_subway,leg_rail_replacement_quick_subway,,,,0,,prod_rapid_transit_quick_subway,0,1
leg_ss_rapid_transit_quick_subway,leg_rapid_transit_quick_subway,,,,0,,prod_rapid_transit_quick_subway,0,1
leg_ss_rapid_transit_smartcard,leg_express_bus_smartcard,,7200,1,0,prod_transfer_rapid_transit_to_express_bus,prod_rapid_transit_smartcard,0,0
leg_ss_rapid_transit_smartcard,leg_local_bus_smartcard,,7200,1,0,,prod_rapid_transit_smartcard,0,1
leg_ss_rapid_transit_smartcard,leg_mattapan_rapid_transit_smartcard,,7200,1,0,,prod_rapid_transit_smartcard,0,1
leg_ss_rapid_transit_smartcard,leg_rail_replacement_smartcard,,,,0,,prod_rapid_transit_smartcard,0,1
leg_ss_rapid_transit_smartcard,leg_rapid_transit_smartcard,,,,0,,prod_rapid_transit_smartcard,0,1
