trip_id,trip_property_id,value
75179542,note,Does not run during school vacation
75179542,trip_type,supplemental
75179544,note,Does not run during school vacation
75179544,trip_type,supplemental
75179627,note,Does not run during school vacation
75179627,trip_type,supplemental
75179793,note,Does not run during school vacation
75179793,trip_type,supplemental
75179794,note,Does not run during school vacation
75179794,trip_type,supplemental
75179799,note,Does not run during school vacation
75179799,trip_type,supplemental
75179803,note,Does not run during school vacation
75179803,trip_type,supplemental
75179804,note,Does not run during school vacation
75179804,trip_type,supplemental
75179805,note,Does not run during school vacation
75179805,trip_type,supplemental
75179806,note,Does not run during school vacation
75179806,trip_type,supplemental
75179807,note,Does not run during school vacation
75179807,trip_type,supplemental
75179809,note,Does not run during school vacation
75179809,trip_type,supplemental
75179854,note,Does not run during school vacation
75179854,trip_type,supplemental
75179938,note,Does not run during school vacation
75179938,trip_type,supplemental
75180311,note,Does not run during school vacation
75180311,trip_type,supplemental
75180748,note,Does not run during school vacation
75180748,trip_type,supplemental
75180914,note,Does not run during school vacation
75180914,trip_type,supplemental
75180978,note,Does not run during school vacation
75180978,trip_type,supplemental
75180980,note,Does not run during school vacation
75180980,trip_type,supplemental
75181516,note,Does not run during school vacation
75181516,trip_type,supplemental
75181518,note,Does not run during school vacation
75181518,trip_type,supplemental
75181648,note,Does not run during school vacation
75181648,trip_type,supplemental
75181819,note,Does not run during school vacation
75181819,trip_type,supplemental
75181823,note,Does not run during school vacation
75181823,trip_type,supplemental
75182519,note,Does not run during school vacation
75182519,trip_type,supplemental
75204181,note,Does not run during school vacation
75204181,trip_type,supplemental
75204595,note,Does not run during school vacation
75204595,trip_type,supplemental
75204719,note,Waits at Harvard Sq @ Garden St - Dawes Island for last Red Line train
75204719,trip_type,wait
75204814,note,Does not run during school vacation
75204814,trip_type,supplemental
75204815,note,Does not run during school vacation
75204815,trip_type,supplemental
75204875,note,Does not run during school vacation
75204875,trip_type,supplemental
75204879,note,Does not run during school vacation
75204879,trip_type,supplemental
75204880,note,Does not run during school vacation
75204880,trip_type,supplemental
75204881,note,Does not run during school vacation
75204881,trip_type,supplemental
75204883,note,Does not run during school vacation
75204883,trip_type,supplemental
75204894,note,Does not run during school vacation
75204894,trip_type,supplemental
75204897,note,Does not run during school vacation
75204897,trip_type,supplemental
75205165,note,Does not run during school vacation
75205165,trip_type,supplemental
75205377,note,Does not run during school vacation
75205377,trip_type,supplemental
75205512,note,Does not run during school vacation
75205512,trip_type,supplemental
75205516,note,Does not run during school vacation
75205516,trip_type,supplemental
75205756,note,Waits at Boylston St @ Dartmouth St for last Green Line train
75205756,trip_type,wait
75205793,note,Does not run during school vacation
75205793,trip_type,supplemental
75205799,note,Does not run during school vacation
75205799,trip_type,supplemental
75205807,note,Does not run during school vacation
75205807,trip_type,supplemental
75205817,note,Does not run during school vacation
75205817,trip_type,supplemental
75205870,note,Does not run during school vacation
75205870,trip_type,supplemental
75205905,note,Does not run during school vacation
75205905,trip_type,supplemental
75206057,note,Does not run during school vacation
75206057,trip_type,supplemental
75206251,note,Does not run during school vacation
75206251,trip_type,supplemental
75206735,note,Does not run during school vacation
75206735,trip_type,supplemental
75206839,note,Waits at Ashmont for last Red Line train
75206839,trip_type,wait
75206847,note,Waits at Kenmore for last Green Line train
75206847,trip_type,wait
75240683,note,Waits at W Broadway @ Broadway Station for last Red Line train
75240683,trip_type,wait
75240784,note,Waits at W Broadway @ Broadway Station for last Red Line train
75240784,trip_type,wait
75242206,note,Waits at Nubian for last Silver Line bus
75242206,trip_type,wait
75242212,note,Waits at Ashmont for last Red Line train
75242212,trip_type,wait
75242213,note,Waits at Ruggles for last Orange Line train
75242213,trip_type,wait
75242217,note,Waits at Kenmore for last Green Line train
75242217,trip_type,wait
75242219,note,Waits at Nubian for last Silver Line bus
75242219,trip_type,wait
75242220,note,Waits at Harvard Sq @ Garden St - Dawes Island for last Red Line train
75242220,trip_type,wait
75246795,note,Waits at Ruggles for last Orange Line train
75246795,trip_type,wait
75247147,note,Waits at Nubian for last Silver Line bus
75247147,trip_type,wait
75247155,note,Waits at Harvard Sq @ Garden St - Dawes Island for last Red Line train
75247155,trip_type,wait
75247251,note,Waits at Boylston St @ Dartmouth St for last Green Line train
75247251,trip_type,wait
75247285,note,Waits at Andrew for last Red Line train
75247285,trip_type,wait
75248456,note,Waits at Nubian for last Silver Line bus
75248456,trip_type,wait
75255396,note,Does not run during school vacation
75255396,trip_type,supplemental
75255681,note,Does not run during school vacation
75255681,trip_type,supplemental
75255812,note,Does not run during school vacation
75255812,trip_type,supplemental
75255813,note,Does not run during school vacation
75255813,trip_type,supplemental
75255847,note,Does not run during school vacation
75255847,trip_type,supplemental
75255851,note,Does not run during school vacation
75255851,trip_type,supplemental
75255852,note,Does not run during school vacation
75255852,trip_type,supplemental
75255853,note,Does not run during school vacation
75255853,trip_type,supplemental
75255855,note,Does not run during school vacation
75255855,trip_type,supplemental
75255866,note,Does not run during school vacation
75255866,trip_type,supplemental
75255869,note,Does not run during school vacation
75255869,trip_type,supplemental
75256117,note,Does not run during school vacation
75256117,trip_type,supplemental
75256253,note,Does not run during school vacation
75256253,trip_type,supplemental
75256306,note,Does not run during school vacation
75256306,trip_type,supplemental
75256310,note,Does not run during school vacation
75256310,trip_type,supplemental
75256377,note,Waits at Boylston St @ Dartmouth St for last Green Line train
75256377,trip_type,wait
75256411,note,Does not run during school vacation
75256411,trip_type,supplemental
75256416,note,Does not run during school vacation
75256416,trip_type,supplemental
75256424,note,Does not run during school vacation
75256424,trip_type,supplemental
75256433,note,Does not run during school vacation
75256433,trip_type,supplemental
75256467,note,Does not run during school vacation
75256467,trip_type,supplemental
75256496,note,Does not run during school vacation
75256496,trip_type,supplemental
75256624,note,Does not run during school vacation
75256624,trip_type,supplemental
75256786,note,Does not run during school vacation
75256786,trip_type,supplemental
75257052,note,Does not run during school vacation
75257052,trip_type,supplemental
75257156,note,Waits at Ashmont for last Red Line train
75257156,trip_type,wait
75257164,note,Waits at Kenmore for last Green Line train
75257164,trip_type,wait
75257166,note,Waits at Nubian for last Silver Line bus
75257166,trip_type,wait
75257175,note,Waits at Harvard Sq @ Garden St - Dawes Island for last Red Line train
75257175,trip_type,wait
75315511,note,Waits at Ashmont for last Red Line train
75315511,trip_type,wait
75315518,note,Waits at Ashmont for last Red Line train
75315518,trip_type,wait
75315891,note,Waits at Ashmont for last Red Line train
75315891,trip_type,wait
75315933,note,Waits at Ashmont for last Red Line train
75315933,trip_type,wait
75316290,note,Waits at Ashmont for last Red Line train
75316290,trip_type,wait
75450123,note,Waits at W Broadway @ Broadway Station for last Red Line train
75450123,trip_type,wait
75450224,note,Waits at W Broadway @ Broadway Station for last Red Line train
75450224,trip_type,wait
75451659,note,Waits at Nubian for last Silver Line bus
75451659,trip_type,wait
75521692,note,Waits at Lechmere for last Green Line train
75521692,trip_type,wait
75521726,note,Does not run during school vacation
75521726,trip_type,supplemental
75521924,note,Waits at Harvard for last Red Line train
75521924,trip_type,wait
75521932,note,Does not run during school vacation
75521932,trip_type,supplemental
75522081,note,Does not run during school vacation
75522081,trip_type,supplemental
75522380,note,Waits at Green St @ Magazine St for last Red Line train
75522380,trip_type,wait
75522517,note,Does not run during school vacation
75522517,trip_type,supplemental
75522575,note,Does not run during school vacation
75522575,trip_type,supplemental
75522622,note,Waits at Lechmere for last Green Line train
75522622,trip_type,wait
75522685,note,Does not run during school vacation
75522685,trip_type,supplemental
75522699,note,Waits at Main St @ Kendall Station - Red Line for last Red Line train
75522699,trip_type,wait
75522815,note,Waits at Western Ave @ Green St for last Red Line train
75522815,trip_type,wait
75522921,note,Waits at Harvard for last Red Line train
75522921,trip_type,wait
75523213,note,Waits at Harvard for last Red Line train
75523213,trip_type,wait
75523337,note,Waits at Lechmere for last Green Line train
75523337,trip_type,wait
75523445,note,Waits at Lechmere for last Green Line train
75523445,trip_type,wait
75523650,note,Waits at Harvard for last Red Line train
75523650,trip_type,wait
75523757,note,Does not run during school vacation
75523757,trip_type,supplemental
75524399,note,Does not run during school vacation
75524399,trip_type,supplemental
75524605,note,Does not run during school vacation
75524605,trip_type,supplemental
75524754,note,Does not run during school vacation
75524754,trip_type,supplemental
75525190,note,Does not run during school vacation
75525190,trip_type,supplemental
75525248,note,Does not run during school vacation
75525248,trip_type,supplemental
75525358,note,Does not run during school vacation
75525358,trip_type,supplemental
75526430,note,Does not run during school vacation
75526430,trip_type,supplemental
75529777,note,Waits at Green St @ Magazine St for last Red Line train
75529777,trip_type,wait
75530222,note,Waits at Western Ave @ Green St for last Red Line train
75530222,trip_type,wait
75530338,note,Waits at Harvard for last Red Line train
75530338,trip_type,wait
75530468,note,Waits at Western Ave @ Green St for last Red Line train
75530468,trip_type,wait
75530533,note,Waits at Lechmere for last Green Line train
75530533,trip_type,wait
75530694,note,Waits at Harvard for last Red Line train
75530694,trip_type,wait
75530734,note,Waits at Harvard for last Red Line train
75530734,trip_type,wait
75530930,note,Waits at Lechmere for last Green Line train
75530930,trip_type,wait
75530979,note,Waits at Lechmere for last Green Line train
75530979,trip_type,wait
75584980,note,Waits at Surface Rd @ Hanover St for last Orange Line and Green Line trains
75584980,trip_type,wait
75585023,note,Waits at Wellington for last Orange Line train
75585023,trip_type,wait
75588739,note,Waits at Sullivan Square for last Orange Line train
75588739,trip_type,wait
75589109,note,Waits at Malden Center for last Orange Line train
75589109,trip_type,wait
75589117,note,Waits at Airport for last Blue Line train
75589117,trip_type,wait
75589504,note,Waits at Wellington for last Orange Line train
75589504,trip_type,wait
75589737,note,Waits at Wellington for last Orange Line train
75589737,trip_type,wait
75589767,note,Waits at Harvard for last Red Line train
75589767,trip_type,wait
75602615,note,Does not run during school vacation
75602615,trip_type,supplemental
75602646,note,Does not run during school vacation
75602646,trip_type,supplemental
75602647,note,Does not run during school vacation
75602647,trip_type,supplemental
75602659,note,Does not run during school vacation
75602659,trip_type,supplemental
75602675,note,Does not run during school vacation
75602675,trip_type,supplemental
75602696,note,Does not run during school vacation
75602696,trip_type,supplemental
75602840,note,Does not run during school vacation
75602840,trip_type,supplemental
75602923,note,Does not run during school vacation
75602923,trip_type,supplemental
75602924,note,Does not run during school vacation
75602924,trip_type,supplemental
75602925,note,Does not run during school vacation
75602925,trip_type,supplemental
75602926,note,Does not run during school vacation
75602926,trip_type,supplemental
75603416,note,Does not run during school vacation
75603416,trip_type,supplemental
75603417,note,Does not run during school vacation
75603417,trip_type,supplemental
75603418,note,Does not run during school vacation
75603418,trip_type,supplemental
75603419,note,Does not run during school vacation
75603419,trip_type,supplemental
75603420,note,Does not run during school vacation
75603420,trip_type,supplemental
75603421,note,Does not run during school vacation
75603421,trip_type,supplemental
75603422,note,Does not run during school vacation
75603422,trip_type,supplemental
75603434,note,Does not run during school vacation
75603434,trip_type,supplemental
75603435,note,Does not run during school vacation
75603435,trip_type,supplemental
