area_id,area_name
105S,105th Ave & Santa Fe Dr
107C,107th Ave & Camelback Rd
107I,107th Ave & Indian School Rd
107M,107th Ave & McDowell Rd
DO10,10th Ave & Dobbins Rd
110V,110th Pl & Via Linda
11&V,11th St & Van Buren St
129T,129th Ave & Thunderbird Rd
12CA,12th St & Camelback Rd
12GL,12th St & Glendale Ave
JE12,12th St & Jefferson St
12LI,12th St & Liberty Lane
12TH,12th St & Thomas Rd
JE121,12th St/Jefferson
WA122,12th St/Washington
15BU,15th Ave & Buckeye Rd
15CA,15th Ave & Camelback Rd
15DO,15th Ave & Dobbins Rd
15JE,15th Ave & Jefferson St
PE15,15th Ave & Peoria Ave
15PI,15th Ave & Pima St
15TH,15th Ave & Thomas Rd
15VB,15th Ave & Van Buren St
15WA,15th Ave & Washington St
15CI,15th St & Cinnabar Ave
16BA,16th St & Baseline Rd
16BE,16th St & Bethany Home Rd
16BD,16th St & Broadway Rd
16BU,16th St & Buckeye Rd
16CA,16th St & Camelback Rd
16GL,16th St & Glendale Ave
16NO,16th St & Northern Ave
16RE,16th St & Roeser Rd
16RO,16th St & Roosevelt St
16SO,16th St & Southern Ave
16TH,16th St & Thomas Rd
16VB,16th St & Van Buren St
16WA,16th St & Washington St
17JE2,17th Ave & Jefferson St
18JE,18th Ave & Jefferson St
18MC,18th Ave & McDowell Rd
19AD,19th Ave & Adams St
19BL,19th Ave & Bell Rd
19BE,19th Ave & Bethany Home Rd
BD19,19th Ave & Broadway Rd
19BU,19th Ave & Buckeye Rd
19CT,19th Ave & Cactus Rd
19CA,19th Ave & Camelback Rd
19CP,19th Ave & Campbell Ave
19CH,19th Ave & Cholla St
19DV,19th Ave & Deer Valley Rd
19DU,19th Ave & Dunlap Ave
19GL,19th Ave & Glendale Ave
GR19,19th Ave & Greenway Rd
19HT,19th Ave & Hilton Ave
19IN,19th Ave & Indian School Rd
19JE-S,19th Ave & Jefferson St
19JE-E,19th Ave & Jefferson St
19JE,19th Ave & Jefferson St
19MC,19th Ave & McDowell Rd
19NO,19th Ave & Northern Ave
19PE,19th Ave & Peoria Ave
RO19,19th Ave & Roeser Rd
19SH,19th Ave & Shangri-la Rd
19SO,19th Ave & Southern Ave
19SS,19th Ave & Sunnyside Dr
19TH,19th Ave & Thomas Rd
19TB,19th Ave & Thunderbird Rd
19UN,19th Ave & Union Hills Dr
19VB,19th Ave & Van Buren St
19WH,19th Ave & Wahalla Ln
LR19CA,19th Ave/Camelback
LR19DU,19th Ave/Dunlap
1AVB,1st Ave & Van Buren St
22LB,22nd Ave & Lower Buckeye Rd
23CA,23rd Ave & Camelback Rd
23HP,23rd Ave & Happy Valley Rd
23RO,23rd Ave & Rose Garden Ln
24BA,24th St & Baseline Rd
BD24,24th St & Broadway Rd
24AR,24th St & Buchanan St
24BU,24th St & Buckeye Rd
24CA,24th St & Camelback Rd
24IN,24th St & Indian School Rd
24JE,24th St & Jefferson St
24MC,24th St & McDowell Rd
24RE,24th St & Roeser Rd
SO24,24th St & Southern Ave
24TH,24th St & Thomas Rd
24VB,24th St & Van Buren St
24WA,24th St & Washington St
SKT5,24th St PHX Sky Train Station
BA24,24th St/Baseline PNR
24JE1,24th St/Jefferson
24WA2,24th St/Washington
25DU,25th Ave/Dunlap
27BA,27th Av/Baseline PNR
27BA2,27th Av/Baseline PNR
27BA1,27th Av/Baseline PNR
27BU,27th Ave & Buckeye Rd
27CA,27th Ave & Camelback Rd
27DV,27th Ave & Deer Valley Rd
27DU,27th Ave & Durango Dr
27GL,27th Ave & Glendale Ave
27IN,27th Ave & Indian School Rd
27LB,27th Ave & Lower Buckeye Rd
27NO,27th Ave & Northern Ave
27RO,27th Ave & Rose Garden Ln
27SO,27th Ave & Southern Ave
27TH,27th Ave & Thomas Rd
27UN,27th Ave & Union Hills Dr
27VB,27th Ave & Van Buren St
28DU,28th Ave & Durango Dr
28CA,28th St & Camelback Rd
29BE,29th Ave & Bell Rd
29GR,29th Ave & Greenway Rd
31TB,31st Ave & Thunderbird Rd
31UN,31st Ave & Union Hills Dr
31YO,31st Ave & Yorkshire Dr
32DU,32nd Dr & Durango St
32BD,32nd St & Broadway Rd
32CT,32nd St & Cactus Rd
CH32,32nd St & Chandler Blvd
GR32,32nd St & Greenway Rd
32IN,32nd St & Indian School Rd
LI32,32nd St & Liberty Ln
32MC,32nd St & McDowell Rd
32RO,32nd St & Roosevelt St
32SH,32nd St & Shea Blvd
SO32,32nd St & Southern Ave
32TH,32nd St & Thomas Rd
32TB,32nd St & Thunderbird Rd
32UH,32nd St & Union Hills Dr
32VB,32nd St & Van Buren St
BE35,35th Ave & Bell Rd
35BE,35th Ave & Bethany Home Rd
35BD,35th Ave & Broadway Rd
35BU,35th Ave & Buckeye Rd
35CT,35th Ave & Cactus Rd
35CA,35th Ave & Camelback Rd
DV35,35th Ave & Deer Valley Rd
35DU,35th Ave & Durango St
