service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_name
ASU_Weekday_1_2604-VMTM_1111000,1,1,1,1,0,0,0,20260427,20260511,ASU_Weekday_1_2604-VMTM_1111000
A_Saturday_1_2604-VMR_0000010,0,0,0,0,0,1,0,20260502,20260725,A_Saturday_1_2604-VMR_0000010
A_Sunday_1_2604-VMR_0000001,0,0,0,0,0,0,1,20260503,20260726,A_Sunday_1_2604-VMR_0000001
A_Weekday_1_2604-VMR_1111100,1,1,1,1,1,0,0,20260427,20260724,A_Weekday_1_2604-VMR_1111100
B_Saturday_1_2604-VMR_0000010,0,0,0,0,0,1,0,20260502,20260725,B_Saturday_1_2604-VMR_0000010
B_Sunday_1_2604-VMR_0000001,0,0,0,0,0,0,1,20260503,20260726,B_Sunday_1_2604-VMR_0000001
B_Weekday_1_2604-VMR_1111100,1,1,1,1,1,0,0,20260427,20260724,B_Weekday_1_2604-VMR_1111100
Circ_Saturday_10_2604-PHNS_0000010,0,0,0,0,0,1,0,20260502,20260725,Circ_Saturday_10_2604-PHNS_0000010
Circ_Saturday_10_2604-PHW_0000010,0,0,0,0,0,1,0,20260502,20260725,Circ_Saturday_10_2604-PHW_0000010
Circ_Saturday_1_2604-VMTM_0000010,0,0,0,0,0,1,0,20260502,20260725,Circ_Saturday_1_2604-VMTM_0000010
Circ_Sunday_10_2604-PHNS_0000001,0,0,0,0,0,0,1,20260503,20260726,Circ_Sunday_10_2604-PHNS_0000001
Circ_Sunday_10_2604-PHW_0000001,0,0,0,0,0,0,1,20260503,20260726,Circ_Sunday_10_2604-PHW_0000001
Circ_Sunday_1_2604-VMTM_0000001,0,0,0,0,0,0,1,20260503,20260726,Circ_Sunday_1_2604-VMTM_0000001
Circ_Weekday_10_2510-SC_1111100,1,1,1,1,1,0,0,20260427,20260724,Circ_Weekday_10_2510-SC_1111100
Circ_Weekday_10_2604-PHNS_1111100,1,1,1,1,1,0,0,20260427,20260724,Circ_Weekday_10_2604-PHNS_1111100
Circ_Weekday_10_2604-PHW_1111100,1,1,1,1,1,0,0,20260427,20260724,Circ_Weekday_10_2604-PHW_1111100
Circ_Weekday_1_2604-VMTM_1111100,1,1,1,1,1,0,0,20260427,20260724,Circ_Weekday_1_2604-VMTM_1111100
Express_Weekday_1_2604-VMTM_1111100,1,1,1,1,1,0,0,20260427,20260724,Express_Weekday_1_2604-VMTM_1111100
Express_Weekday_1_2604-VMW_1111100,1,1,1,1,1,0,0,20260427,20260724,Express_Weekday_1_2604-VMW_1111100
FLSH_Weekday_1_2604-VMTM_1111100,1,1,1,1,1,0,0,20260427,20260724,FLSH_Weekday_1_2604-VMTM_1111100
GUS1_Saturday_10_2510-GL_0000010,0,0,0,0,0,1,0,20260502,20260725,GUS1_Saturday_10_2510-GL_0000010
GUS1_Sunday_10_2510-GL_0000001,0,0,0,0,0,0,1,20260503,20260726,GUS1_Sunday_10_2510-GL_0000001
GUS1_Weekday_10_2510-GL_1111100,1,1,1,1,1,0,0,20260427,20260724,GUS1_Weekday_10_2510-GL_1111100
GUS2GUS3_Weekday_10_2510-GL_1111100,1,1,1,1,1,0,0,20260427,20260724,GUS2GUS3_Weekday_10_2510-GL_1111100
Local_Saturday_10_2604-PHNS_0000010,0,0,0,0,0,1,0,20260502,20260725,Local_Saturday_10_2604-PHNS_0000010
Local_Saturday_10_2604-PHW_0000010,0,0,0,0,0,1,0,20260502,20260725,Local_Saturday_10_2604-PHW_0000010
Local_Saturday_1_2604-VMTM_0000010,0,0,0,0,0,1,0,20260502,20260725,Local_Saturday_1_2604-VMTM_0000010
Local_Sunday_10_2604-PHNS_0000001,0,0,0,0,0,0,1,20260503,20260726,Local_Sunday_10_2604-PHNS_0000001
Local_Sunday_10_2604-PHW_0000001,0,0,0,0,0,0,1,20260503,20260726,Local_Sunday_10_2604-PHW_0000001
Local_Sunday_1_2604-VMTM_0000001,0,0,0,0,0,0,1,20260503,20260726,Local_Sunday_1_2604-VMTM_0000001
Local_Weekday_10_2604-PHNS_1111100,1,1,1,1,1,0,0,20260427,20260724,Local_Weekday_10_2604-PHNS_1111100
Local_Weekday_10_2604-PHW_1111100,1,1,1,1,1,0,0,20260427,20260724,Local_Weekday_10_2604-PHW_1111100
Local_Weekday_1_2604-VMTM_1111100,1,1,1,1,1,0,0,20260427,20260724,Local_Weekday_1_2604-VMTM_1111100
Local_Weekday_1_2604-VMW_1111100,1,1,1,1,1,0,0,20260427,20260724,Local_Weekday_1_2604-VMW_1111100
RAPID_Weekday_10_2604-PHNS_1111100,1,1,1,1,1,0,0,20260427,20260724,RAPID_Weekday_10_2604-PHNS_1111100
SKYT_7-days_2_SKYT_1111111,1,1,1,1,1,1,1,20260427,20260726,SKYT_7-days_2_SKYT_1111111
S_Saturday_1_2604-VMR_0000010,0,0,0,0,0,1,0,20260502,20260725,S_Saturday_1_2604-VMR_0000010
S_Sunday_1_2604-VMR_0000001,0,0,0,0,0,0,1,20260503,20260726,S_Sunday_1_2604-VMR_0000001
S_Weekday_1_2604-VMR_1111100,1,1,1,1,1,0,0,20260427,20260724,S_Weekday_1_2604-VMR_1111100
School1_Weekday_1_2604-VMTM_0010000,0,0,1,0,0,0,0,20260429,20260722,School1_Weekday_1_2604-VMTM_0010000
School1_Weekday_1_2604-VMTM_1101100,0,0,0,1,0,0,0,20260427,20260724,School1_Weekday_1_2604-VMTM_1101100
School2_Weekday_1_2604-VMTM_0000100,0,0,0,0,0,0,0,20260501,20260724,School2_Weekday_1_2604-VMTM_0000100
School2_Weekday_1_2604-VMTM_1111000,0,0,1,1,0,0,0,20260427,20260723,School2_Weekday_1_2604-VMTM_1111000
School3_Weekday_1_2604-VMTM_1111000,1,1,1,1,0,0,0,20260427,20260521,School3_Weekday_1_2604-VMTM_1111000
School_Weekday_10_2604-PHNS_0010000,0,0,1,0,0,0,0,20260429,20260520,School_Weekday_10_2604-PHNS_0010000
School_Weekday_10_2604-PHNS_1101100,1,1,0,1,1,0,0,20260427,20260522,School_Weekday_10_2604-PHNS_1101100
School_Weekday_10_2604-PHNS_1111100,1,1,1,1,1,0,0,20260427,20260522,School_Weekday_10_2604-PHNS_1111100
School_Weekday_10_2604-PHW_0010000,0,0,1,0,0,0,0,20260429,20260520,School_Weekday_10_2604-PHW_0010000
School_Weekday_10_2604-PHW_1101100,1,1,0,1,1,0,0,20260427,20260522,School_Weekday_10_2604-PHW_1101100
School_Weekday_10_2604-PHW_1111100,1,1,1,1,1,0,0,20260427,20260522,School_Weekday_10_2604-PHW_1111100
VMRU_Saturday_1_2604-VMRU_0000010,0,0,0,0,0,1,0,20260502,20260725,VMRU_Saturday_1_2604-VMRU_0000010
VMRU_Weekday_1_2604-VMRU_1111100,1,1,1,1,1,0,0,20260427,20260724,VMRU_Weekday_1_2604-VMRU_1111100
VMR_Weekday_1_2604-VMR_1111100,1,1,1,1,1,0,0,20260427,20260724,VMR_Weekday_1_2604-VMR_1111100
