area_id,stop_id
105S,6951
107C,9366
107C,8840
107I,7855
107I,7934
107M,30163
107M,8643
107M,8644
DO10,4841
DO10,1229
110V,6146
11&V,1895
11&V,6108
11&V,878
129T,9242
129T,9243
12CA,1902
12CA,3621
12CA,250
12CA,5548
12GL,1907
12GL,3626
12GL,361
12GL,5645
JE12,1360
JE12,441
12LI,40338
12TH,1924
12TH,3643
12TH,770
JE121,9000
WA122,9028
15BU,3152
15BU,4845
15BU,1117
15BU,6392
15CA,1929
15CA,3652
15CA,1164
15DO,1230
15JE,1441
15JE,7846
PE15,40092
PE15,40114
15PI,3154
15PI,6938
15TH,1947
15TH,3672
15VB,1948
15VB,3673
15VB,1803
15VB,7122
15WA,7843
15CI,40340
16BA,3157
16BA,4848
16BA,40
16BA,5362
16BE,3678
16BE,5417
16BD,3158
16BD,4849
16BD,129
16BD,5425
16BU,3159
16BU,4850
16BU,222
16BU,5510
16CA,1955
16CA,3679
16CA,252
16CA,5549
16GL,1960
16GL,3684
16GL,360
16GL,5646
16NO,3708
16NO,9281
16NO,5802
16RE,5826
16RE,584
16RO,5848
16RO,602
16SO,3166
16SO,4858
16TH,1978
16TH,3702
16TH,5978
16TH,746
16VB,1979
16VB,3703
16VB,6110
16VB,880
16WA,6189
17JE2,1443
18JE,1453
18JE,7845
18MC,6827
19AD,1993
19BL,1997
19BL,3726
19BL,1028
19BL,6302
19BE,1998
19BE,3728
19BE,1058
19BE,6331
BD19,7494
BD19,7563
19BU,7488
19BU,7492
19BU,1119
19BU,6393
19CT,3730
19CT,6422
19CA,2000
19CA,3731
19CA,1166
19CA,6442
19CP,3732
19CH,2003
19CH,3734
19CH,40339
19DV,7689
19DV,8363
19DV,1375
19DV,7698
19DU,2008
19DU,3739
19DU,1237
19DU,6522
19GL,2015
19GL,3741
19GL,1315
19GL,6607
GR19,2016
GR19,3742
GR19,8254
GR19,8309
19HT,6707
19IN,2020
19IN,3745
19IN,1404
19IN,6717
19JE-S,3725
19JE-E,1444
19JE,1378
19MC,2023
19MC,3748
19MC,1488
19MC,6825
19NO,2030
19NO,3753
19NO,1525
19NO,6850
19PE,2033
19PE,3757
19PE,1575
19PE,6898
RO19,4871
RO19,7485
RO19,8043
19SH,40347
19SO,7471
19SO,7482
19SO,1633
19SO,6954
19SS,3760
19TH,2038
19TH,3761
19TH,1672
19TH,6994
19TB,2039
19TB,3762
19TB,1721
19TB,7039
19UN,2042
19UN,3764
19UN,1748
19UN,7068
19VB,2044
19VB,3766
19VB,1805
19VB,7124
19WH,1996
19WH,3711
LR19CA,9001
LR19CA,9029
LR19DU,6659
LR19DU,6660
1AVB,3781
1AVB,1809
22LB,7602
22LB,7830
23CA,1168
23CA,6444
23HP,20126
23HP,8128
23HP,8154
23HP,20125
23RO,1625
23RO,8030
24BA,3184
24BA,5364
24BA,8063
BD24,3185
BD24,4877
BD24,132
BD24,5429
24AR,3202
24BU,3186
24BU,4878
24BU,223
24BU,5511
24CA,2069
24CA,3796
24CA,256
24CA,5553
24IN,404
24IN,5682
24JE,4881
24JE,446
24MC,486
24MC,5746
24RE,5830
24RE,585
SO24,3198
SO24,4885
SO24,5918
SO24,674
24TH,2087
24TH,3814
24TH,5981
24TH,748
24VB,2065
24VB,3815
24VB,6114
24VB,886
24WA,6193
SKT5,9798
SKT5,SKTR5
BA24,9560
BA24,183
BA24,9137
BA24,9561
24JE1,9002
24WA2,9030
25DU,9777
25DU,9778
27BA,7760
27BA2,9115
27BA1,1009
27BU,8055
27BU,8058
27BU,1122
27BU,6398
27CA,2101
27CA,3831
27CA,1169
27CA,6445
27DV,8033
27DV,8037
27DU,8053
27GL,2107
27GL,3834
27GL,6609
27IN,2110
27IN,3840
27IN,1406
27IN,6721
27LB,9183
27LB,9184
27NO,1528
27NO,6851
27RO,3854
27RO,8035
27SO,1636
27SO,6956
27TH,2120
27TH,3856
27UN,3857
27UN,7071
27VB,2121
27VB,3858
27VB,1808
27VB,7127
28DU,1259
28CA,3878
28CA,258
28CA,5555
29BE,3890
29BE,2954
29GR,2157
29GR,3892
31TB,2171
31TB,3905
31UN,1754
31UN,7074
31YO,1849
31YO,7176
32DU,6547
32BD,3205
32BD,4898
32BD,139
32BD,5436
32CT,2179
32CT,236
32CT,5527
CH32,40140
CH32,7539
GR32,8235
GR32,8285
32IN,2189
32IN,3923
32IN,408
32IN,5685
LI32,4901
LI32,7637
32MC,492
32RO,2197
32RO,3934
32RO,5858
32SH,2208
32SH,3935
32SH,7733
32SH,658
SO32,5920
SO32,679
32TH,2200
32TH,3938
32TB,2201
32TB,3939
32TB,20053
32TB,785
32UH,3940
32UH,6038
32UH,804
32VB,2203
32VB,8217
32VB,6117
32VB,889
BE35,2219
BE35,3949
BE35,1034
BE35,6307
35BE,1065
35BE,6337
35BD,3211
35BD,4905
35BU,3212
35BU,4906
35BU,1127
35BU,6402
35CT,1152
35CT,6429
35CA,2225
35CA,3954
35CA,1172
35CA,6448
DV35,8135
35DU,20101
35DU,4903
35DU,7717
35GL,2239
35GL,3970
GR35,8263
GR35,8315
35LB,3217
35LB,4910
35LB,9181
35LB,9182
35MC,1494
35MC,6798
35NO,1532
35NO,6853
35SO,1637
35SO,6957
35TH,2259
35TH,3993
35TH,1678
35TH,7001
35TB,2260
35TB,3994
35TB,1725
35TB,7042
35UN,2262
35UN,3996
35UN,1756
35UN,7076
35VB,2263
35VB,3997
35VB,1812
35VB,7131
LRWA38,9003
LRWA38,9031
WA38,6199
WA38,957
39DU,1244
39SO,1638
39CA,1174
3AJE,1447
3AWA,7173
JE3S1,9004
3SWA2,9032
3SGR,4029
40BA,20020
40BA,5367
40BA,56
40BL,2302
40BL,4038
40BL,5397
40BL,98
40BD,20012
40BD,20028
40CT,9382
40CT,9390
40CT,238
40CT,5530
40CA,5559
GR40,2306
GR40,4040
GR40,8239
GR40,8289
40SH,9386
40SH,5879
40SH,638
40TB,2311
40TB,9378
40TB,6022
40TB,789
40UH,4044
40UH,6041
40UH,807
40WA,6201
PCPR,7834
BE43,1038
BE43,6312
43BL,2318
43BL,4050
43BE,2319
43BE,4051
43BE,1069
43BE,6341
43BU,7635
43BU,7686
43BU,1131
43BU,6405
43CT,2321
43CT,4053
43CA,2322
43CA,4054
43CA,1186
43CA,6464
43DU,2328
43DU,4058
43DU,1245
43DU,6874
43GL,2334
43GL,4064
43GL,1326
43GL,6601
GR43,8267
GR43,8319
43IN,1412
43IN,6727
43LB,20076
43LB,9583
43LB,9584
43MC,1498
43MC,6802
43NO,2351
43NO,4080
43NO,1537
43NO,6858
43PE,2356
43PE,4088
43PE,1588
43PE,6907
43SO,20103
43SO,6267
43TH,2361
43TH,4097
43TB,2362
43TB,4098
43TB,1729
43TB,7046
43UN,4100
43UN,1758
43UN,7080
43UN,1759
43VB,2364
43VB,4101
43VB,1816
43VB,7134
44CA,2373
44CA,4110
44CA,265
44CA,5560
44EL,5619
44IN,414
44IN,5691
KN44,7790
KN44,5711
KN44,40349
44MC,498
44MC,5755
44TH,2386
44TH,4124
44TH,5991
44TH,759
44VB,2387
44VB,4125
44VB,6122
44VB,892
44WA,2388
44WA,9295
44WA,6202
44WA,960
SKTR,9290
SKTR,SKTR1
LR44WA,9005
LR44WA,9033
45GL,6618
48BA,1012
48BA,5369
48BD,4924
48BD,1088
48BD,5444
48CH,4925
48CH,7546
48CH,5592
48CH,7548
48EL,4928
48EL,1271
48EL,327
48EL,6564
48FR,7636
48MC,5757
RA48,3230
RA48,7552
RA48,572
RA48,5819
48RO,3235
48RO,4932
48RO,5839
48SO,3237
48SO,4933
48SO,1639
48SO,5930
48UN,6086
48UN,1787
48UN,7116
48&V,6123
48&V,893
48WR,3234
48WR,4935
48WR,6168
CA4S,8099
LR50WA,9764
LR50WA,9765
51DO,9058
51DO,9059
BA51,20041
BA51,9056
BA51,9067
BA51,9083
BE51,30015
BE51,1041
BE51,6315
51BU,1364
51BU,1370
51BU,1134
51BU,6407
51CC,2402
51CC,1160
51CA,4132
51CA,7885
51GL,7893
51GL,7910
51GR,8326
51GR,9779
51GR,9185
51IN,2410
51IN,4142
51IN,1415
51IN,6731
51LB,1361
51LB,1374
51LB,9400
51LB,9410
51MC,2411
51MC,1501
51MC,6804
51OL,7897
51OL,7917
51OL,6877
51PE,9322
51PE,9323
51RO,7871
51RO,8443
51SO,20037
51SO,20045
51TH,2417
51TH,4148
51TH,1687
51TH,7005
51TB,1731
51TB,7049
51UN,1762
51UN,7084
51VB,1367
51VB,8445
51VB,1820
51VB,7138
EL51,20003
GL52,4151
GL52,6647
GL52,6623
52DV,8472
52DV,8501
52MC,4153
52MC,502
52MC,5759
52TH,5993
52TH,762
52UN,7817
52UN,9563
52UN,1788
52UN,7105
52VB,6124
52VB,9327
BE53,1042
54CH,8718
54CH,8860
54CH,6485
55BT,4226
55EN,40014
55EN,40048
55NO,4157
55NO,1541
IN56,417
IN56,5695
56MY,470
56MY,471
56RA,9444
56RA,9459
56SH,643
56TH,4162
56TH,5995
56TH,764
56WA,1845
56WA,6210
BA59,9070
BA59,9080
59BR,9574
59BE,2440
59BE,4179
59BE,1044
59BU,3248
59BU,1137
59BU,6410
59CA,2444
59CA,4171
59CA,1181
59CA,6469
59GL,4189
59GL,2490
59GL,1355
59GL,6626
GN59,1358
59GN,4191
59GN,2474
59HA,4168
59HA,7984
MNTC,6706
59IN,2462
59IN,4194
59IN,1419
59IN,6734
59MC,2464
59MC,4198
59MC,1502
59MC,6808
59MY,2469
59MY,4203
59NO,2470
59NO,4205
59NO,7983
59OL,2472
59OL,4219
59OL,1555
59OL,6880
59PE,1596
59PE,6915
59TH,2483
59TH,4215
59TH,1690
59TH,7009
59TB,2437
59TB,7985
59TB,1733
59TB,7052
59UH,4216
59UH,1766
59UH,7087
59VB,2485
59VB,4217
59VB,7511
59VB,7524
BR59,9330
5SFA,7720
5SFA,40080
5SPR,5233
CHEV,9729
63FI,40298
63PE,6916
64CA,284
64CA,5565
64IN,419
64IN,5707
64MC,5761
64MC,504
64SH,5887
64SH,646
64TH,6006
64TH,766
65LB,9404
65LB,9405
BE67,1047
BE67,6321
67BE,4233
67BE,1079
67BE,6352
67BU,9175
67BU,9207
67BU,1139
67BU,7495
67CT,2506
