route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color,direction0_name,direction1_name,route_group,alt_route_type,ext_nextride_id,route_division
0,1,0,Central Ave,3,,591769,FFFFFF,Northbound,Southbound,Local Bus,704,,PHNS
1,1,1,Washington St,3,,591769,FFFFFF,Eastbound,Westbound,Local Bus,704,,PHNS
3,1,3,Van Buren St,3,,591769,FFFFFF,Eastbound,Westbound,Local Bus,704,,PHW
7s,1,7s,7th St school trips,3,,591769,FFFFFF,Northbound,Southbound,School Trips on Public Transit Routes,704,,PHNS
7,1,7,7th  St,3,,591769,FFFFFF,Northbound,Southbound,Local Bus,704,,PHNS
8,1,8,7th Ave,3,,591769,FFFFFF,Northbound,Southbound,Local Bus,704,,PHNS
10,1,10,Roosevelt St,3,,591769,FFFFFF,Eastbound,Westbound,Local Bus,704,,PHNS
12,1,12,12th St,3,,591769,FFFFFF,Northbound,Southbound,Local Bus,704,,PHNS
13,1,13,Buckeye Rd,3,,591769,FFFFFF,Eastbound,Westbound,Local Bus,704,,PHW
15,1,15,15th Ave,3,,591769,FFFFFF,Northbound,Southbound,Local Bus,704,,PHNS
16s,1,16s,16th St school trips,3,,591769,FFFFFF,Northbound,Southbound,School Trips on Public Transit Routes,704,,PHNS
16,1,16,16th St,3,,591769,FFFFFF,Northbound,Southbound,Local Bus,704,,PHNS
17s,1,17s,McDowell Rd school trips,3,,591769,FFFFFF,Eastbound,Westbound,School Trips on Public Transit Routes,704,,PHW
17,1,17,McDowell Rd,3,,591769,FFFFFF,Eastbound,Westbound,Local Bus,704,,PHW
19,1,19,19th Ave,3,,591769,FFFFFF,Northbound,Southbound,Local Bus,704,,PHNS
27,1,27,27th Ave,3,,591769,FFFFFF,Northbound,Southbound,Local Bus,704,,PHNS
28,1,28,Lower Buckeye Rd,3,,591769,FFFFFF,Eastbound,Westbound,Local Bus,704,,PHNS
29,1,29,Thomas Rd,3,,591769,FFFFFF,Eastbound,Westbound,Local Bus,704,,PHW
30,1,30,University Dr,3,,591769,FFFFFF,Eastbound,Westbound,Local Bus,704,,VMTM
32s,1,32s,32nd St school trips,3,,591769,FFFFFF,Northbound,Southbound,School Trips on Public Transit Routes,704,,PHNS
32,1,32,32nd St,3,,591769,FFFFFF,Northbound,Southbound,Local Bus,704,,PHNS
35,1,35,35th Ave,3,,591769,FFFFFF,Northbound,Southbound,Local Bus,704,,PHNS
39,1,39,North 40th St,3,,591769,FFFFFF,Northbound,Southbound,Local Bus,704,,PHNS
40,1,40,Main St,3,,591769,FFFFFF,Eastbound,Westbound,Local Bus,704,,VMTM
41,1,41,Indian School Rd,3,,591769,FFFFFF,Eastbound,Westbound,Local Bus,704,,PHW
43,1,43,43rd Ave,3,,591769,FFFFFF,Northbound,Southbound,Local Bus,704,,PHW
44,1,44,44th St/Tatum Blvd,3,,591769,FFFFFF,Northbound,Southbound,Local Bus,704,,PHNS
45,1,45,Broadway Rd,3,,591769,FFFFFF,Eastbound,Westbound,Local Bus,704,,VMTM
48,1,48,48th St,3,,591769,FFFFFF,Northbound,Southbound,Local Bus,704,,VMTM
50,1,50,Camelback Rd,3,,591769,FFFFFF,Eastbound,Westbound,Local Bus,704,,PHNS
51,1,51,51st Ave,3,,591769,FFFFFF,Northbound,Southbound,Local Bus,704,,PHW
52s,1,52s,Roeser Rd school trips,3,,591769,FFFFFF,Eastbound,Westbound,School Trips on Public Transit Routes,704,,PHNS
52,1,52,Roeser Rd,3,,591769,FFFFFF,Eastbound,Westbound,Local Bus,704,,PHNS
56,1,56,Priest Dr,3,,591769,FFFFFF,Northbound,Southbound,Local Bus,704,,VMTM
59s,1,59s,59th Ave school trips,3,,591769,FFFFFF,Northbound,Southbound,School Trips on Public Transit Routes,704,,PHW
59,1,59,59th Ave,3,,591769,FFFFFF,Northbound,Southbound,Local Bus,704,,PHW
