route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,trip_route_type,route_pattern_id,bikes_allowed
1,BUS20262-hbc26017-Sunday-02,75248361,Harvard,,0,C01-3,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248362,Harvard,,0,C01-5,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248363,Harvard,,0,C01-6,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248364,Harvard,,0,C01-1,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248365,Harvard,,0,C01-2,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248366,Harvard,,0,C01-3,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248367,Harvard,,0,C01-5,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248368,Harvard,,0,C01-6,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248369,Harvard,,0,C01-1,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248370,Harvard,,0,C01-2,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248371,Harvard,,0,C01-3,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248372,Harvard,,0,C01-5,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248373,Harvard,,0,C01-4,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248374,Harvard,,0,C01-7,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248375,Harvard,,0,C45-221,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248376,Harvard,,0,C01-8,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248377,Harvard,,0,C01-26,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248378,Harvard,,0,C01-5,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248379,Harvard,,0,C01-23,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248380,Harvard,,0,C01-4,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248381,Harvard,,0,C01-7,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248382,Harvard,,0,C15-99,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248383,Harvard,,0,C23-183,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248384,Harvard,,0,C01-8,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248385,Harvard,,0,C01-26,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248386,Harvard,,0,C01-4,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248388,Harvard,,0,C01-13,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248389,Harvard,,0,C01-27,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248396,Harvard,,0,C01-29,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248399,Harvard,,0,C01-9,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248407,Harvard,,0,C01-10,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248408,Harvard,,0,C01-25,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248409,Harvard,,0,C01-20,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248410,Harvard,,0,C01-7,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248415,Harvard,,0,C01-34,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248417,Harvard,,0,C01-21,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248418,Harvard,,0,C01-26,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248420,Harvard,,0,C01-35,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248421,Harvard,,0,C01-27,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248422,Harvard,,0,C01-36,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248423,Harvard,,0,C01-37,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248424,Harvard,,0,C01-30,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248425,Harvard,,0,C01-31,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248426,Harvard,,0,C01-32,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248427,Harvard,,0,C01-33,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248428,Harvard,,0,C01-34,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248429,Harvard,,0,C01-35,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248430,Harvard,,0,C01-36,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248431,Harvard,,0,C01-38,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248432,Harvard,,0,C01-37,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248433,Harvard,,0,C01-30,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248434,Harvard,,0,C01-14,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248435,Harvard,,0,C01-34,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248436,Harvard,,0,C01-35,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248437,Harvard,,0,C01-36,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248438,Harvard,,0,C01-37,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248439,Harvard,,0,C01-17,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248440,Harvard,,0,C01-14,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248441,Harvard,,0,C01-38,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248442,Harvard,,0,C01-18,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248443,Harvard,,0,C01-19,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248444,Harvard,,0,C01-16,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248445,Harvard,,0,C01-17,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248446,Harvard,,0,C22-175,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248447,Harvard,,0,C01-15,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248448,Harvard,,0,C01-18,010154,1,,1-_-0,1
1,BUS20262-hbc26017-Sunday-02,75248449,Harvard,,0,C01-19,010154,1,,1-_-0,1
