stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code,equipment,ext_juris,ext_lighting,ext_photo,ext_shelter,jurisdiction
place_LR19CA,,19th Ave/Camelback,,33.50953700,-112.09882400,,,1,,0,,,,,,,
place_LR19DU,,19th Ave/Dunlap,,33.56738400,-112.10084800,,,1,,0,,,,,,,
place_BA24,,24th St/Baseline PNR,,33.37947200,-112.02949100,,,1,,0,,,,,,,
place_25DU,,25th Ave/Dunlap,,33.56757600,-112.11143600,,,1,,0,,,,,,,
place_27BA,,27th Av/Baseline PNR,,33.37783200,-112.11698500,,,1,,0,,,,,,,
place_27BA1,,27th Av/Baseline PNR,,33.37754500,-112.11800800,,,1,,0,,,,,,,
place_27BA2,,27th Av/Baseline PNR,,33.37734800,-112.11737200,,,1,,0,,,,,,,
place_LRWA38,,38th St/Washington,,33.44810200,-111.99987900,,,1,,0,,,,,,,
place_PCPR,,40th St/Pecos PNR,,33.29347000,-111.99819000,,,1,,0,,,,,,,
place_LR44WA,,44th St/Washington,,33.44816800,-111.98798000,,,1,,0,,,,,,,
place_LR50WA,,50th St/Washington St,,33.44698400,-111.97526700,,,1,,0,,,,,,,
place_79PR,,79th Av PNR,,33.46400500,-112.22884900,,,1,,0,,,,,,,
place_LR7ACA,,7th Ave/Camelback,,33.50928800,-112.08333500,,,1,,0,,,,,,,
place_LRMAAL,,Alma School/Main St,,33.41494000,-111.85556400,,,1,,0,,,,,,,
place_ARMA,,Arrowhead Mall North,,33.64314600,-112.22498900,,,1,,0,,,,,,,
place_ASUE,,ASU Polytechnic Campus,,33.30888600,-111.68024700,,,1,,0,,,,,,,
place_ASUW,,ASU West Campus,,33.60922400,-112.16049400,,,1,,0,,,,,,,
place_LRCEBA,,Baseline/Central Ave,,33.37855600,-112.07326800,,,1,,0,,,,,,,
place_DVPR,,Bell Rd/I-17 PNR,,33.63876200,-112.11699400,,,1,,0,,,,,,,
place_BLPR,,Bell Rd/SR51 PNR,,33.63901100,-112.00425400,,,1,,0,,,,,,,
place_LRCEBD,,Broadway/Central Ave,,33.40594800,-112.07329100,,,1,,0,,,,,,,
place_BUPR,,Buckeye PNR,,33.46851900,-112.47987000,,,1,,0,,,,,,,
place_LRCEBU,,Buckeye/Central Ave,,33.43595100,-112.07373800,,,1,,0,,,,,,,
place_CECP,,Campbell/Central Ave,,33.50139800,-112.07376800,,,1,,0,,,,,,,
place_WACP,,Center Pkwy/Washington,,33.43804700,-111.94660500,,,1,,0,,,,,,,
place_MACE,,Center/Main St,,33.41509600,-111.83065400,,,1,,0,,,,,,,
place_LRCECA,,Central Ave/Camelback,,33.50866300,-112.07529900,,,1,,0,,,,,,,
place_CHFC,,Chandler Fashion Center TC,,33.29803700,-111.89974800,,,1,,0,,,,,,,
place_CHPR,,Chandler PNR,,33.27561500,-111.83329300,,,1,,0,,,,,,,
place_CLAP,,College Ave/Apache,,33.41467800,-111.93527100,,,1,,0,,,,,,,
place_LRCCMA,,Country Club/Main St,,33.41510300,-111.83907300,,,1,,0,,,,,,,
place_DSTC,,Desert Sky TC,,33.47903100,-112.22865500,,,1,,0,,,,,,,
place_APDO,,Dorsey Ln/Apache Blvd,,33.41475900,-111.91689900,,,1,,0,,,,,,,
place_DRDW,,Dreamy Draw PNR,,33.58090900,-112.01129600,,,1,,0,,,,,,,
place_ML11TH,,Eleventh St/Mill,,33.41808800,-111.93992300,,,1,,0,,,,,,,
place_CEEN,,Encanto/Central Ave,,33.47365500,-112.07379900,,,1,,0,,,,,,,
place_GIMC,,Gilbert Rd & McDowell PNR,,33.46750500,-111.78632700,,,1,,0,,,,,,,
place_LRMAGI,,Gilbert Rd/Main St,,33.41533100,-111.79074100,,,1,,0,,,,,,,
place_GMTC,,Gilbert Rd/Main St TC,,33.41491200,-111.79065200,,,1,,0,,,,,,,
place_GEPR,,Glendale PNR,,33.53895300,-112.27162300,,,1,,0,,,,,,,
place_GL19,,Glendale/19th Ave,,33.53744800,-112.09966300,,,1,,0,,,,,,,
place_GYPR,,Goodyear PNR,,33.45998600,-112.34374600,,,1,,0,,,,,,,
place_GRSE,,Granite Reef Senior Center,,33.46719700,-111.90110900,,,1,,0,,,,,,,
place_GSCS,,Greg Stanton CS,,33.45192600,-112.07450600,,,1,,0,,,,,,,
place_HVPR,,Happy Valley PNR,,33.71034100,-112.11866400,,,1,,0,,,,,,,
place_LRCEIN,,Indian School/Central Ave,,33.49574900,-112.07377300,,,1,,0,,,,,,,
place_SYMA1,,Main St & Sycamore,,33.41484500,-111.86998400,,,1,,0,,,,,,,
place_LRMCAP,,McClintock Dr/Apache Blvd,,33.41472700,-111.90826800,,,1,,0,,,,,,,
place_LRCEMD,,McDowell/Central Ave,,33.46470300,-112.07381100,,,1,,0,,,,,,,
place_LRMAME,,Mesa Dr/Main St,,33.41506600,-111.82213500,,,1,,0,,,,,,,
place_LRMECE,,Metro Pkwy,,33.57509200,-112.11847100,,,1,,0,,,,,,,
place_MI3S,,Mill Ave/3rd St,,33.42750500,-111.94069800,,,1,,0,,,,,,,
place_LR19MB,,Montebello/19th Ave,,33.52058500,-112.09972200,,,1,,0,,,,,,,
place_19MB,,Montebello/19th Ave TC,,33.51963600,-112.09901000,,,1,,0,,,,,,,
place_25MV,,Mountain View/25th Ave,,33.57321700,-112.11214400,,,1,,0,,,,,,,
place_MUTC,,Mustang TC,,33.57811900,-111.88613400,,,1,,0,,,,,,,
place_ML9TH,,Ninth St/Mill,,33.42092200,-111.93993300,,,1,,0,,,,,,,
place_NO19,,Northern/19th Ave,,33.55227000,-112.09961200,,,1,,0,,,,,,,
place_CEOS,,Osborn/Central Ave,,33.48686000,-112.07379400,,,1,,0,,,,,,,
place_PVCC,,Paradise Valley CC,,33.65166500,-112.01268200,,,1,,0,,,,,,,
place_PASAP,,Paseo Del Saber/Apache,,33.41473400,-111.92937100,,,1,,0,,,,,,,
place_LRCEPI,,Pioneer/Central Ave,,33.41844000,-112.07350800,,,1,,0,,,,,,,
place_POPR,,Power Rd PNR,,33.47067400,-111.68339600,,,1,,0,,,,,,,
place_LRAPPR,,Price-101/Apache Blvd,,33.41482100,-111.88811400,,,1,,0,,,,,,,
place_LRPRWA,,Priest Dr/Washington St,,33.44200800,-111.95610700,,,1,,0,,,,,,,
place_LRCERE,,Roeser/Central Ave,,33.39883600,-112.07335000,,,1,,0,,,,,,,
place_LRCERO,,Roosevelt/Central Ave,,33.45934000,-112.07393800,,,1,,0,,,,,,,
place_TPLI,,Rural Rd & Tempe Library PNR,,33.38997500,-111.92658600,,,1,,0,,,,,,,
place_SCRUAP,,Rural/Apache,,33.41476000,-111.92525000,,,1,,0,,,,,,,
place_SCCC1,,Scottsdale CC PNR,,33.50990000,-111.87958300,,,1,,0,,,,,,,
place_SCPR,,Scottsdale PNR,,33.61044800,-111.92484100,,,1,,0,,,,,,,
place_APSM,,Smith-Martin/Apache Blvd,,33.41478300,-111.90079900,,,1,,0,,,,,,,
place_SMCC,,South Mountain CC,,33.38357200,-112.03347600,,,1,,0,,,,,,,
place_LRCESO,,Southern/Central Ave,,33.39149200,-112.07331700,,,1,,0,,,,,,,
place_LRMAST,,Stapley Dr/Main St,,33.41522500,-111.80309900,,,1,,0,,,,,,,
place_SUCE,,Sunnyslope TC,,33.56708300,-112.06899400,,,1,,0,,,,,,,
place_SSPR,,Superstition Springs PNR,,33.38724300,-111.69018900,,,1,,0,,,,,,,
place_SPMA,,Superstition Springs TC,,33.38745300,-111.68899200,,,1,,0,,,,,,,
place_SUPR,,Surprise PNR,,33.63808100,-112.34621400,,,1,,0,,,,,,,
place_MALO,,Sycamore/Main St,,33.41485500,-111.87090700,,,1,,0,,,,,,,
